URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,43.0,26.0,0.25,0.11,10.4,0.4,4.32,10.4,315.0,709.0,2.0,95.0,8.0
38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,37.0,28.0,0.14,0.19,6.85,0.29,2.86,6.85,159.0,460.0,1.0,69.0,7.0
39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,47.0,24.0,0.32,0.14,8.11,0.39,3.4,8.11,268.0,612.0,2.0,88.0,8.0
40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,32.0,22.0,0.19,0.14,6.33,0.28,2.64,6.33,161.0,499.0,1.0,121.0,7.0
41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,33.0,22.0,0.2,0.11,9.06,0.31,3.75,9.06,218.0,608.0,2.0,94.0,7.0
42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,29.0,23.0,0.12,0.15,9.95,0.26,4.08,9.95,147.0,457.0,1.0,64.0,7.0
43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,14.0,9.0,0.22,0.12,6.76,0.31,2.83,6.76,95.0,241.0,2.0,34.0,8.0
44,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,0.0,0.0,0.0,0.0,5.0,0.2,2.08,5.0,1.0,4.0,2.0,1.0,8.0
45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,21.0,13.0,0.24,0.19,8.75,0.13,3.55,8.75,41.0,245.0,1.0,34.0,7.0
46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,42.0,28.0,0.2,0.13,9.42,0.35,3.91,9.42,269.0,674.0,2.0,145.0,7.0
47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,29.0,37.0,-0.12,0.14,7.34,0.32,3.06,7.34,211.0,583.0,1.0,89.0,7.0
48,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,25.0,13.0,0.32,0.11,8.71,0.39,3.64,8.71,198.0,428.0,2.0,79.0,8.0
49,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,23.0,22.0,0.02,0.13,6.33,0.28,2.64,6.33,142.0,439.0,1.0,76.0,7.0
50,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,34.0,19.0,0.28,0.14,9.23,0.32,3.82,9.23,179.0,479.0,1.0,97.0,8.0
51,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,42.0,14.0,0.5,0.13,8.11,0.32,3.37,8.11,207.0,562.0,2.0,120.0,7.0
52,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,21.0,0.0,1.0,0.13,11.36,0.34,4.68,11.36,86.0,205.0,2.0,37.0,8.0
53,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,45.0,28.0,0.23,0.17,73.78,0.3,29.63,73.78,197.0,570.0,1.0,99.0,7.0
54,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,13.0,0.0,1.0,0.06,7.22,0.34,3.02,7.22,109.0,265.0,2.0,31.0,7.0
55,https://insights.blackcoffer.com/evolution-of-advertising-industry/,14.0,5.0,0.47,0.09,8.18,0.42,3.44,8.18,137.0,274.0,2.0,37.0,8.0
56,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,0.0,3.0,-1.0,0.06,16.29,0.19,6.59,16.29,22.0,82.0,2.0,19.0,8.0
57,https://insights.blackcoffer.com/covid-19-environmental-impact-for-the-future/,0.0,0.0,0.0,0.0,5.0,0.2,2.08,5.0,1.0,4.0,2.0,1.0,8.0
58,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,20.0,40.0,-0.33,0.15,10.25,0.32,4.23,10.25,181.0,494.0,2.0,70.0,7.0
59,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,11.0,8.0,0.16,0.09,12.14,0.26,4.96,12.14,93.0,285.0,1.0,51.0,7.0
60,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,20.0,13.0,0.21,0.1,4.62,0.46,2.03,4.62,233.0,423.0,1.0,87.0,8.0
61,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,29.0,3.0,0.81,0.17,6.95,0.3,2.9,6.95,91.0,241.0,2.0,25.0,8.0
62,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,4.0,1.0,0.6,0.04,12.31,0.17,4.99,12.31,33.0,155.0,1.0,20.0,7.0
63,https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,18.0,8.0,0.38,0.11,11.09,0.19,4.51,11.09,71.0,301.0,1.0,34.0,7.0
64,https://insights.blackcoffer.com/impact-of-ai-in-health-and-medicine/,10.0,7.0,0.18,0.09,14.53,0.23,5.9,14.53,64.0,227.0,2.0,24.0,7.0
65,https://insights.blackcoffer.com/telemedicine-what-patients-like-and-dislike-about-it/,12.0,9.0,0.14,0.21,6.78,0.22,2.8,6.78,40.0,129.0,1.0,12.0,8.0
66,https://insights.blackcoffer.com/how-we-forecast-future-technologies/,4.0,0.0,1.0,0.07,10.3,0.29,4.24,10.3,30.0,74.0,2.0,8.0,8.0
67,https://insights.blackcoffer.com/can-robots-tackle-late-life-loneliness/,16.0,23.0,-0.18,0.19,6.07,0.18,2.5,6.07,60.0,268.0,1.0,38.0,7.0
68,https://insights.blackcoffer.com/embedding-care-robots-into-society-socio-technical-considerations/,5.0,2.0,0.43,0.11,13.44,0.11,5.42,13.44,13.0,85.0,1.0,8.0,7.0
69,https://insights.blackcoffer.com/management-challenges-for-future-digitalization-of-healthcare-services/,23.0,9.0,0.44,0.14,11.03,0.32,4.54,11.03,108.0,286.0,2.0,25.0,8.0
70,https://insights.blackcoffer.com/are-we-any-closer-to-preventing-a-nuclear-holocaust/,1.0,5.0,-0.67,0.14,16.83,0.16,6.8,16.83,16.0,63.0,1.0,12.0,7.0
71,https://insights.blackcoffer.com/will-technology-eliminate-the-need-for-animal-testing-in-drug-development/,7.0,21.0,-0.5,0.27,9.23,0.23,3.78,9.23,46.0,143.0,1.0,19.0,7.0
72,https://insights.blackcoffer.com/will-we-ever-understand-the-nature-of-consciousness/,19.0,37.0,-0.32,0.11,9.62,0.42,4.02,9.62,297.0,627.0,2.0,128.0,8.0
73,https://insights.blackcoffer.com/will-we-ever-colonize-outer-space/,30.0,20.0,0.2,0.11,9.51,0.29,3.92,9.51,193.0,567.0,1.0,68.0,7.0
74,https://insights.blackcoffer.com/what-is-the-chance-homo-sapiens-will-survive-for-the-next-500-years/,25.0,23.0,0.04,0.11,8.0,0.24,3.3,8.0,160.0,572.0,1.0,71.0,7.0
75,https://insights.blackcoffer.com/why-does-your-business-need-a-chatbot/,17.0,7.0,0.42,0.13,5.23,0.27,2.2,5.23,87.0,244.0,1.0,62.0,7.0
76,https://insights.blackcoffer.com/how-you-lead-a-project-or-a-team-without-any-technical-expertise/,24.0,6.0,0.6,0.11,7.27,0.28,3.02,7.27,134.0,391.0,1.0,40.0,7.0
77,https://insights.blackcoffer.com/can-you-be-great-leader-without-technical-expertise/,19.0,5.0,0.58,0.24,12.75,0.33,5.23,12.75,67.0,146.0,1.0,23.0,7.0
78,https://insights.blackcoffer.com/how-does-artificial-intelligence-affect-the-environment/,25.0,13.0,0.32,0.09,9.04,0.34,3.75,9.04,210.0,545.0,2.0,108.0,8.0
79,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes-2/,18.0,47.0,-0.45,0.24,5.67,0.19,2.34,5.67,81.0,350.0,1.0,44.0,7.0
80,https://insights.blackcoffer.com/is-perfection-the-greatest-enemy-of-productivity/,17.0,17.0,0.0,0.16,4.92,0.23,2.06,4.92,88.0,295.0,1.0,36.0,7.0
81,https://insights.blackcoffer.com/global-financial-crisis-2008-causes-effects-and-its-solution/,11.0,20.0,-0.29,0.15,8.07,0.22,3.32,8.07,77.0,276.0,1.0,83.0,7.0
82,https://insights.blackcoffer.com/gender-diversity-and-equality-in-the-tech-industry/,15.0,18.0,-0.09,0.11,7.42,0.35,3.11,7.42,157.0,374.0,2.0,50.0,8.0
83,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes/,18.0,52.0,-0.49,0.24,6.21,0.19,2.56,6.21,85.0,371.0,1.0,47.0,7.0
84,https://insights.blackcoffer.com/how-small-business-can-survive-the-coronavirus-crisis/,15.0,11.0,0.15,0.13,11.34,0.23,4.63,11.34,77.0,264.0,1.0,46.0,7.0
85,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors-and-food-stalls/,7.0,6.0,0.08,0.13,15.36,0.21,6.23,15.36,35.0,127.0,1.0,13.0,7.0
86,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors/,12.0,15.0,-0.11,0.11,15.46,0.28,6.3,15.46,103.0,311.0,2.0,32.0,7.0
87,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-tourism-aviation-industries/,14.0,25.0,-0.28,0.11,9.48,0.24,3.89,9.48,129.0,447.0,1.0,110.0,7.0
88,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-sports-events-around-the-world/,16.0,7.0,0.39,0.04,4.26,0.35,1.84,4.26,295.0,764.0,1.0,173.0,7.0
89,https://insights.blackcoffer.com/changing-landscape-and-emerging-trends-in-the-indian-it-ites-industry/,27.0,33.0,-0.1,0.13,8.14,0.3,3.38,8.14,202.0,585.0,1.0,89.0,7.0
90,https://insights.blackcoffer.com/online-gaming-adolescent-online-gaming-effects-demotivated-depression-musculoskeletal-and-psychosomatic-symptoms/,21.0,37.0,-0.28,0.14,10.0,0.41,4.16,10.0,239.0,520.0,2.0,63.0,8.0
91,https://insights.blackcoffer.com/human-rights-outlook/,3.0,1.0,0.5,0.09,13.86,0.11,5.59,13.86,11.0,66.0,1.0,6.0,7.0
92,https://insights.blackcoffer.com/how-voice-search-makes-your-business-a-successful-business/,23.0,4.0,0.7,0.12,9.85,0.22,4.03,9.85,86.0,304.0,1.0,66.0,7.0
93,https://insights.blackcoffer.com/how-the-covid-19-crisis-is-redefining-jobs-and-services/,18.0,29.0,-0.23,0.11,5.09,0.39,2.19,5.09,236.0,526.0,1.0,71.0,7.0
94,https://insights.blackcoffer.com/how-to-increase-social-media-engagement-for-marketers/,37.0,14.0,0.45,0.11,7.45,0.31,3.1,7.45,208.0,581.0,1.0,92.0,7.0
95,https://insights.blackcoffer.com/impacts-of-covid-19-on-streets-sides-food-stalls/,14.0,23.0,-0.24,0.12,10.22,0.26,4.19,10.22,120.0,397.0,1.0,45.0,7.0
96,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets-2/,15.0,25.0,-0.25,0.1,9.68,0.46,4.06,9.68,265.0,509.0,2.0,110.0,8.0
97,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-5/,12.0,28.0,-0.4,0.14,9.04,0.25,3.72,9.04,109.0,366.0,1.0,55.0,7.0
98,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-4/,26.0,26.0,0.0,0.16,6.52,0.29,2.72,6.52,140.0,401.0,1.0,93.0,7.0
99,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-2/,16.0,19.0,-0.09,0.11,13.05,0.3,5.34,13.05,144.0,411.0,2.0,62.0,7.0
100,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-3/,16.0,36.0,-0.38,0.13,10.0,0.3,4.12,10.0,167.0,493.0,2.0,84.0,7.0
101,https://insights.blackcoffer.com/travel-and-tourism-outlook/,3.0,3.0,0.0,0.11,12.1,0.11,4.88,12.1,13.0,85.0,1.0,5.0,7.0
102,https://insights.blackcoffer.com/gaming-disorder-and-effects-of-gaming-on-health/,22.0,38.0,-0.27,0.17,8.62,0.22,3.54,8.62,114.0,446.0,1.0,55.0,7.0
103,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation/,5.0,22.0,-0.63,0.13,9.4,0.21,3.84,9.4,68.0,265.0,2.0,40.0,7.0
104,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation-2/,18.0,36.0,-0.33,0.16,9.84,0.38,4.09,9.84,185.0,431.0,2.0,52.0,8.0
105,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-office-space-and-co-working-industries/,14.0,27.0,-0.32,0.18,9.89,0.27,4.06,9.89,103.0,297.0,1.0,51.0,7.0
106,https://insights.blackcoffer.com/contribution-of-handicrafts-visual-arts-literature-in-the-indian-economy/,1.0,0.0,1.0,0.02,16.2,0.32,6.61,16.2,26.0,62.0,2.0,15.0,8.0
107,https://insights.blackcoffer.com/how-covid-19-is-impacting-payment-preferences/,9.0,3.0,0.5,0.09,8.96,0.17,3.65,8.96,43.0,190.0,1.0,37.0,7.0
108,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,19.0,43.0,-0.39,0.21,14.0,0.29,5.72,14.0,126.0,365.0,2.0,53.0,7.0
109,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis/,18.0,17.0,0.03,0.2,10.43,0.12,4.22,10.43,39.0,238.0,1.0,71.0,6.0
110,https://insights.blackcoffer.com/covid-19-how-have-countries-been-responding/,6.0,28.0,-0.65,0.11,9.83,0.29,4.05,9.83,132.0,403.0,1.0,60.0,7.0
111,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-2/,13.0,24.0,-0.3,0.14,7.65,0.32,3.19,7.65,126.0,326.0,2.0,81.0,7.0
112,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-3/,20.0,52.0,-0.44,0.17,10.7,0.23,4.37,10.7,133.0,493.0,2.0,53.0,7.0
113,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-3/,14.0,20.0,-0.18,0.14,12.15,0.26,4.96,12.15,107.0,342.0,2.0,55.0,7.0
114,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work/,24.0,30.0,-0.11,0.14,8.43,0.31,3.5,8.43,182.0,505.0,1.0,59.0,7.0
115,https://insights.blackcoffer.com/covid-19-how-have-countries-been-responding-2/,13.0,31.0,-0.41,0.1,10.3,0.36,4.26,10.3,227.0,554.0,2.0,87.0,7.0
116,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-4/,7.0,16.0,-0.39,0.12,31.27,0.11,12.55,31.27,38.0,267.0,1.0,68.0,6.0
117,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-2/,30.0,41.0,-0.15,0.14,10.67,0.32,4.4,10.67,226.0,621.0,2.0,81.0,7.0
118,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-3/,18.0,36.0,-0.33,0.2,5.77,0.2,2.39,5.77,88.0,367.0,1.0,66.0,7.0
119,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-4/,5.0,9.0,-0.29,0.14,11.0,0.31,4.52,11.0,51.0,131.0,2.0,34.0,8.0
120,https://insights.blackcoffer.com/why-scams-like-nirav-modi-happen-with-indian-banks/,32.0,47.0,-0.19,0.13,9.17,0.39,3.82,9.17,313.0,728.0,2.0,124.0,7.0
121,https://insights.blackcoffer.com/impact-of-covid-19-on-the-global-economy/,29.0,44.0,-0.21,0.2,9.06,0.18,3.7,9.06,100.0,483.0,1.0,102.0,7.0
122,https://insights.blackcoffer.com/impact-of-covid-19coronavirus-on-the-indian-economy-2/,22.0,45.0,-0.34,0.14,8.29,0.26,3.42,8.29,185.0,613.0,1.0,136.0,7.0
123,https://insights.blackcoffer.com/impact-of-covid-19-on-the-global-economy-2/,32.0,55.0,-0.26,0.17,9.73,0.28,4.0,9.73,203.0,646.0,1.0,103.0,7.0
124,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy-3/,19.0,29.0,-0.21,0.18,8.8,0.28,3.63,8.8,121.0,365.0,1.0,72.0,7.0
125,https://insights.blackcoffer.com/should-celebrities-be-allowed-to-join-politics/,45.0,18.0,0.43,0.12,12.43,0.28,5.08,12.43,222.0,691.0,1.0,73.0,7.0
126,https://insights.blackcoffer.com/how-prepared-is-india-to-tackle-a-possible-covid-19-outbreak/,13.0,21.0,-0.24,0.14,11.15,0.26,4.56,11.15,97.0,304.0,1.0,45.0,7.0
127,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work/,23.0,53.0,-0.39,0.2,9.86,0.33,4.08,9.86,181.0,473.0,2.0,78.0,7.0
128,https://insights.blackcoffer.com/controversy-as-a-marketing-strategy/,6.0,7.0,-0.08,0.14,11.33,0.21,4.62,11.33,36.0,118.0,1.0,11.0,7.0
129,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry/,3.0,5.0,-0.25,0.06,12.43,0.25,5.07,12.43,64.0,207.0,2.0,17.0,7.0
130,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets/,16.0,38.0,-0.41,0.14,12.08,0.3,4.95,12.08,179.0,527.0,1.0,138.0,7.0
131,https://insights.blackcoffer.com/what-are-the-key-policies-that-will-mitigate-the-impacts-of-covid-19-on-the-world-of-work/,51.0,25.0,0.34,0.14,10.46,0.32,4.31,10.46,231.0,650.0,2.0,57.0,7.0
132,https://insights.blackcoffer.com/marketing-drives-results-with-a-focus-on-problems/,18.0,18.0,0.0,0.1,9.22,0.32,3.82,9.22,176.0,460.0,1.0,89.0,7.0
133,https://insights.blackcoffer.com/continued-demand-for-sustainability/,16.0,17.0,-0.03,0.13,14.19,0.33,5.81,14.19,125.0,322.0,2.0,41.0,8.0
134,https://insights.blackcoffer.com/coronavirus-disease-covid-19-effect-the-impact-and-role-of-mass-media-during-the-pandemic/,6.0,10.0,-0.25,0.13,14.0,0.26,5.7,14.0,47.0,145.0,2.0,20.0,8.0
135,https://insights.blackcoffer.com/should-people-wear-fabric-gloves-seeking-evidence-regarding-the-differential-transfer-of-covid-19-or-coronaviruses-generally-between-surfaces/,5.0,7.0,-0.17,0.14,11.62,0.1,4.69,11.62,18.0,131.0,1.0,30.0,7.0
136,https://insights.blackcoffer.com/why-is-there-a-severe-immunological-and-inflammatory-explosion-in-those-affected-by-sarms-covid-19/,0.0,11.0,-1.0,0.11,8.9,0.29,3.68,8.9,55.0,131.0,1.0,12.0,8.0
137,https://insights.blackcoffer.com/what-do-you-think-is-the-lesson-or-lessons-to-be-learned-with-covid-19/,4.0,4.0,0.0,0.11,18.38,0.21,7.44,18.38,31.0,104.0,1.0,12.0,7.0
138,https://insights.blackcoffer.com/coronavirus-the-unexpected-challenge-for-the-european-union/,5.0,10.0,-0.33,0.16,12.14,0.24,4.95,12.14,40.0,123.0,1.0,14.0,8.0
139,https://insights.blackcoffer.com/industrial-revolution-4-0-pros-and-cons/,7.0,2.0,0.56,0.14,14.14,0.32,5.78,14.14,32.0,81.0,2.0,20.0,7.0
140,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy/,10.0,29.0,-0.49,0.16,10.03,0.31,4.14,10.03,117.0,320.0,2.0,61.0,7.0
141,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy-2/,4.0,16.0,-0.6,0.15,15.73,0.19,6.37,15.73,44.0,185.0,1.0,32.0,7.0
142,https://insights.blackcoffer.com/impact-of-covid-19coronavirus-on-the-indian-economy/,34.0,47.0,-0.16,0.16,9.19,0.4,3.84,9.19,270.0,613.0,2.0,164.0,7.0
143,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-global-economy/,5.0,20.0,-0.6,0.14,8.71,0.2,3.56,8.71,60.0,238.0,1.0,58.0,7.0
144,https://insights.blackcoffer.com/ensuring-growth-through-insurance-technology/,0.0,0.0,0.0,0.0,5.0,0.2,2.08,5.0,1.0,4.0,2.0,1.0,8.0
145,https://insights.blackcoffer.com/blockchain-in-fintech/,9.0,10.0,-0.05,0.1,9.64,0.28,3.97,9.64,90.0,250.0,2.0,20.0,7.0
146,https://insights.blackcoffer.com/blockchain-for-payments/,21.0,26.0,-0.11,0.15,10.06,0.24,4.12,10.06,117.0,412.0,2.0,49.0,8.0
147,https://insights.blackcoffer.com/the-future-of-investing/,19.0,10.0,0.31,0.09,9.65,0.33,3.99,9.65,154.0,409.0,2.0,35.0,7.0
148,https://insights.blackcoffer.com/big-data-analytics-in-healthcare/,18.0,27.0,-0.2,0.15,6.52,0.41,2.77,6.52,174.0,362.0,2.0,32.0,7.0
149,https://insights.blackcoffer.com/business-analytics-in-the-healthcare-industry/,18.0,5.0,0.57,0.11,11.6,0.4,4.8,11.6,115.0,241.0,2.0,20.0,8.0
150,https://insights.blackcoffer.com/challenges-and-opportunities-of-big-data-in-healthcare/,20.0,33.0,-0.25,0.18,6.58,0.32,2.76,6.58,135.0,361.0,2.0,42.0,7.0
